mid,season,round,tid1,tid2,tid1_loc,tid2_loc,date,venue
2015_R20_104_116,2015,R20,104,116,a,h,2015-08-14,S.C.G.
2015_R20_101_105,2015,R20,101,105,a,h,2015-08-15,Docklands
2015_R20_112_115,2015,R20,112,115,h,a,2015-08-15,Bellerive Oval
2015_R20_109_113,2015,R20,109,113,a,h,2015-08-15,Adelaide Oval
2015_R20_107_110,2015,R20,107,110,h,a,2015-08-15,M.C.G.
2015_R20_102_103,2015,R20,102,103,h,a,2015-08-15,Gabba
2015_R20_108_114,2015,R20,108,114,a,h,2015-08-16,M.C.G.
2015_R20_111_118,2015,R20,111,118,a,h,2015-08-16,Docklands
2015_R20_106_117,2015,R20,106,117,h,a,2015-08-16,Subiaco
2015_R21_110_113,2015,R21,110,113,h,a,2015-08-21,Docklands
2015_R21_104_114,2015,R21,104,114,h,a,2015-08-22,M.C.G.
2015_R21_109_116,2015,R21,109,116,h,a,2015-08-22,Sydney Showground
2015_R21_105_108,2015,R21,105,108,a,h,2015-08-22,Carrara
2015_R21_107_115,2015,R21,107,115,a,h,2015-08-22,Docklands
2015_R21_101_102,2015,R21,101,102,h,a,2015-08-22,Adelaide Oval
2015_R21_106_112,2015,R21,106,112,a,h,2015-08-23,Docklands
2015_R21_103_111,2015,R21,103,111,h,a,2015-08-23,M.C.G.
2015_R21_117_118,2015,R21,117,118,h,a,2015-08-23,Subiaco
2015_R22_104_107,2015,R22,104,107,a,h,2015-08-28,M.C.G.
2015_R22_103_109,2015,R22,103,109,a,h,2015-08-29,Sydney Showground
2015_R22_102_110,2015,R22,102,110,a,h,2015-08-29,York Park
2015_R22_112_118,2015,R22,112,118,h,a,2015-08-29,Docklands
2015_R22_105_114,2015,R22,105,114,h,a,2015-08-29,M.C.G.
2015_R22_108_113,2015,R22,108,113,h,a,2015-08-29,Carrara
2015_R22_101_117,2015,R22,101,117,h,a,2015-08-30,Adelaide Oval
2015_R22_115_116,2015,R22,115,116,h,a,2015-08-30,Docklands
2015_R22_106_111,2015,R22,106,111,h,a,2015-08-30,Subiaco
2015_R23_103_110,2015,R23,103,110,a,h,2015-09-06,M.C.G.
2015_R23_101_107,2015,R23,101,107,a,h,2015-09-06,Kardinia Park
2015_R23_112_114,2015,R23,112,114,a,h,2015-09-06,Docklands
2015_R23_106_113,2015,R23,106,113,a,h,2015-09-06,Adelaide Oval
2015_R23_104_105,2015,R23,104,105,h,a,2015-09-06,M.C.G.
2015_R23_108_116,2015,R23,108,116,a,h,2015-09-06,S.C.G.
2015_R23_109_111,2015,R23,109,111,a,h,2015-09-06,Docklands
2015_R23_115_117,2015,R23,115,117,a,h,2015-09-06,Subiaco
2015_R23_102_118,2015,R23,102,118,h,a,2015-09-06,Gabba
